x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
-9,5.28571,1.13668,-0.0154226,-0.0814545,-0.0154079,1.00781,0.00922306,-0.0814292,0.00944967,1.05523
-9,5.57143,1.13096,-0.0145756,-0.0822344,-0.0145717,1.00752,0.00919519,-0.0822105,0.00941411,1.0582
-9,5.85714,1.12536,-0.0137586,-0.0827252,-0.0137643,1.00724,0.00913242,-0.0827027,0.00934293,1.06104
-9,6.14286,1.1199,-0.012974,-0.0829522,-0.0129879,1.00696,0.00903911,-0.0829311,0.00924074,1.06372
-9,6.42857,1.11459,-0.0122231,-0.0829405,-0.0122443,1.00669,0.00891945,-0.0829208,0.00911187,1.06624
-9,6.71429,1.10946,-0.0115071,-0.0827143,-0.0115343,1.00644,0.00877736,-0.082696,0.00896041,1.0686
-9,7,1.10449,-0.0108262,-0.082297,-0.0108585,1.00619,0.00861648,-0.08228,0.00879012,1.07079
-9,7.28571,1.09972,-0.0101805,-0.0817107,-0.0102171,1.00595,0.00844015,-0.081695,0.00860446,1.07283
-9,7.57143,1.09512,-0.009569,-0.080976,-0.00960904,1.00572,0.0082514,-0.0809615,0.00840653,1.07469
-9,7.85714,1.09072,-0.00899275,-0.0801135,-0.00903546,1.0055,0.00805286,-0.0801011,0.00819926,1.07641
-9,8.14286,1.08641,-0.00843707,-0.0791161,-0.00848202,1.0053,0.00784468,-0.0791023,0.00798199,1.07789
-9,8.42857,1.08282,-0.00798239,-0.0778444,-0.0080278,1.00503,0.00760899,-0.0778319,0.00773626,1.0796
-9,8.71429,1.07956,-0.00756708,-0.0788364,-0.00761236,1.00475,0.00767972,-0.0788488,0.00779594,1.08071
-9,9,1.07956,-0.00756708,-0.0788364,-0.00761236,1.00475,0.00767972,-0.0788488,0.00779594,1.08071
-8.71429,-9,1.07948,-0.00755545,0.0788621,-0.00760134,1.00478,-0.00767813,0.0788429,-0.00779531,1.08064
-8.71429,-8.71429,1.07962,-0.00752531,0.0785033,-0.00758496,1.00605,-0.00765691,0.0784843,-0.00781266,1.08073
-8.71429,-8.42857,1.0826,-0.00791582,0.076721,-0.00797509,1.00638,-0.0074911,0.0766929,-0.00765936,1.08001
-8.71429,-8.14286,1.08581,-0.00832429,0.077978,-0.00838326,1.00673,-0.0077253,0.0779565,-0.00790693,1.07816
-8.71429,-7.85714,1.0901,-0.00887947,0.0789534,-0.00893545,1.00696,-0.00793022,0.0789381,-0.0081245,1.07676
-8.71429,-7.57143,1.09442,-0.00944786,0.0797809,-0.00950036,1.00723,-0.00812458,0.0797624,-0.00833033,1.07509
-8.71429,-7.28571,1.09895,-0.0100535,0.0804834,-0.0101015,1.00751,-0.00830914,0.0804634,-0.00852711,1.0733
-8.71429,-7,1.10365,-0.0106919,0.0810386,-0.0107343,1.0078,-0.00848138,0.0810168,-0.00871172,1.07134
-8.71429,-6.71429,1.10852,-0.0113653,0.0814269,-0.0114011,1.0081,-0.00863833,0.0814033,-0.00888119,1.06922
-8.71429,-6.42857,1.11357,-0.0120736,0.0816266,-0.0121013,1.00841,-0.00877675,0.0816012,-0.00903207,1.06694
-8.71429,-6.14286,1.11878,-0.0128163,0.0816152,-0.0128346,1.00873,-0.00889306,0.0815879,-0.00916061,1.0645
-8.71429,-5.85714,1.12413,-0.0135926,0.0813688,-0.0135999,1.00905,-0.0089834,0.0813396,-0.00926277,1.06191
-8.71429,-5.57143,1.12962,-0.0144009,0.0808631,-0.0143956,1.00939,-0.00904368,0.080832,-0.00933423,1.05917
-8.71429,-5.28571,1.13522,-0.0152389,0.0800735,-0.0152194,1.00973,-0.00906962,0.0800406,-0.00937042,1.0563
-8.71429,-5,1.14092,-0.0161037,0.0789756,-0.0160682,1.01008,-0.00905679,0.0789408,-0.00936664,1.0533
-8.71429,-4.71429,1.14668,-0.0169914,0.0775454,-0.0169382,1.01044,-0.00900071,0.077509,-0.00931807,1.05019
-8.71429,-4.42857,1.15247,-0.0178971,0.0757603,-0.0178245,1.01079,-0.00889696,0.0757225,-0.00921994,1.04699
-8.71429,-4.14286,1.15826,-0.0188151,0.0735997,-0.0187215,1.01115,-0.00874127,0.0735607,-0.00906765,1.04373
-8.71429,-3.85714,1.16401,-0.0197385,0.0710457,-0.0196225,1.01151,-0.00852972,0.0710058,-0.00885689,1.04042
-8.71429,-3.57143,1.16967,-0.0206595,0.0680838,-0.0205198,1.01186,-0.00825884,0.0680435,-0.00858383,1.03711
-8.71429,-3.28571,1.17519,-0.0215693,0.0647041,-0.021405,1.0122,-0.0079258,0.0646637,-0.00824532,1.03383
-8.71429,-3,1.18052,-0.0224582,0.0609016,-0.0222686,1.01253,-0.00752861,0.0608617,-0.00783907,1.03061
-8.71429,-2.71429,1.18561,-0.0233159,0.0566775,-0.0231009,1.01285,-0.00706624,0.0566387,-0.00736384,1.0275
-8.71429,-2.42857,1.1904,-0.0241314,0.0520398,-0.0238912,1.01315,-0.00653886,0.0520027,-0.00681961,1.02454
-8.71429,-2.14286,1.19483,-0.0248934,0.0470033,-0.0246289,1.01343,-0.00594789,0.0469685,-0.00620776,1.02176
