x,z,alpha
-8.85827,-0.0708661,0.899689
-8.85827,0.0708661,0.89969
-8.85827,0.212598,0.899716
-8.85827,0.354331,0.899766
-8.85827,0.496063,0.89984
-8.85827,0.637795,0.899938
-8.85827,0.779528,0.90006
-8.85827,0.92126,0.900206
-8.85827,1.06299,0.900375
-8.85827,1.20472,0.900567
-8.85827,1.34646,0.900781
-8.85827,1.48819,0.901017
-8.85827,1.62992,0.901274
-8.85827,1.77165,0.901552
-8.85827,1.91339,0.90185
-8.85827,2.05512,0.902168
-8.85827,2.19685,0.902504
-8.85827,2.33858,0.902859
-8.85827,2.48031,0.903231
-8.85827,2.62205,0.90362
-8.85827,2.76378,0.904025
-8.85827,2.90551,0.904445
-8.85827,3.04724,0.904879
-8.85827,3.18898,0.905328
-8.85827,3.33071,0.905789
-8.85827,3.47244,0.906263
-8.85827,3.61417,0.906748
-8.85827,3.75591,0.907243
-8.85827,3.89764,0.907749
-8.85827,4.03937,0.908264
-8.85827,4.1811,0.908788
-8.85827,4.32283,0.909319
-8.85827,4.46457,0.909858
-8.85827,4.6063,0.910403
-8.85827,4.74803,0.910954
-8.85827,4.88976,0.911511
-8.85827,5.0315,0.912072
-8.85827,5.17323,0.912638
-8.85827,5.31496,0.913207
-8.85827,5.45669,0.913779
-8.85827,5.59843,0.914353
-8.85827,5.74016,0.91493
-8.85827,5.88189,0.915508
-8.85827,6.02362,0.916088
-8.85827,6.16535,0.916668
-8.85827,6.30709,0.917248
-8.85827,6.44882,0.917829
-8.85827,6.59055,0.918409
-8.85827,6.73228,0.918988
-8.85827,6.87402,0.919567
-8.85827,7.01575,0.920144
-8.85827,7.15748,0.920719
-8.85827,7.29921,0.921292
-8.85827,7.44094,0.921864
-8.85827,7.58268,0.922433
-8.85827,7.72441,0.922999
-8.85827,7.86614,0.923562
-8.85827,8.00787,0.924123
-8.85827,8.14961,0.92468
-8.85827,8.29134,0.925234
-8.85827,8.43307,0.925784
-8.85827,8.5748,0.926324
-8.85827,8.71654,0.926963
-8.85827,8.85827,0.927489
-8.85827,9,0.927729
-8.71654,-9,0.927175
-8.71654,-8.85827,0.926935
-8.71654,-8.71654,0.926403
-8.71654,-8.5748,0.925748
-8.71654,-8.43307,0.925195
-8.71654,-8.29134,0.924631
-8.71654,-8.14961,0.924064
-8.71654,-8.00787,0.923493
-8.71654,-7.86614,0.922919
-8.71654,-7.72441,0.922341
-8.71654,-7.58268,0.92176
-8.71654,-7.44094,0.921176
-8.71654,-7.29921,0.920589
-8.71654,-7.15748,0.920001
-8.71654,-7.01575,0.919409
-8.71654,-6.87402,0.918816
-8.71654,-6.73228,0.918222
-8.71654,-6.59055,0.917626
-8.71654,-6.44882,0.917029
-8.71654,-6.30709,0.916431
-8.71654,-6.16535,0.915833
-8.71654,-6.02362,0.915235
-8.71654,-5.88189,0.914638
-8.71654,-5.74016,0.914041
-8.71654,-5.59843,0.913446
-8.71654,-5.45669,0.912853
-8.71654,-5.31496,0.912262
-8.71654,-5.17323,0.911675
-8.71654,-5.0315,0.91109
-8.71654,-4.88976,0.91051
-8.71654,-4.74803,0.909934
-8.71654,-4.6063,0.909364
-8.71654,-4.46457,0.9088
-8.71654,-4.32283,0.908242
-8.71654,-4.1811,0.907691
-8.71654,-4.03937,0.907148
-8.71654,-3.89764,0.906614
-8.71654,-3.75591,0.90609
-8.71654,-3.61417,0.905576
-8.71654,-3.47244,0.905072
-8.71654,-3.33071,0.904581
-8.71654,-3.18898,0.904102
-8.71654,-3.04724,0.903636
-8.71654,-2.90551,0.903185
-8.71654,-2.76378,0.902748
-8.71654,-2.62205,0.902328
-8.71654,-2.48031,0.901924
-8.71654,-2.33858,0.901537
-8.71654,-2.19685,0.901168
-8.71654,-2.05512,0.900818
-8.71654,-1.91339,0.900488
-8.71654,-1.77165,0.900179
-8.71654,-1.62992,0.89989
