x,z,T_00,T_01,T_02,T_03,T_10,T_11,T_12,T_13,T_20,T_21,T_22,T_23,T_30,T_31,T_32,T_33
97,61,-5.09807e-06,-4.19762e-06,-1.04471e-05,3.3526e-07,-4.14598e-06,9.73781e-07,-8.52099e-06,2.82819e-07,-1.03986e-05,-8.52417e-06,-1.66822e-05,6.77379e-07,3.74135e-07,2.70047e-07,6.67782e-07,4.51342e-06
97,62,-5.3231e-06,-4.37612e-06,-1.09296e-05,2.28778e-07,-4.32378e-06,1.04715e-06,-8.90354e-06,1.92857e-07,-1.08814e-05,-8.90767e-06,-1.74976e-05,4.61337e-07,2.67852e-07,1.79597e-07,4.52208e-07,4.74285e-06
97,63,-5.45687e-06,-4.48208e-06,-1.12149e-05,1.11008e-07,-4.43045e-06,1.09115e-06,-9.13129e-06,9.38785e-08,-1.11682e-05,-9.13617e-06,-1.7981e-05,2.21068e-07,1.49233e-07,8.04693e-08,2.12537e-07,4.87949e-06
97,64,-5.49227e-06,-4.51025e-06,-1.12868e-05,-1.22067e-08,-4.46065e-06,1.1021e-06,-9.19221e-06,-9.4436e-09,-1.12426e-05,-9.19757e-06,-1.81032e-05,-3.08473e-08,2.41745e-08,-2.26578e-08,-3.87073e-08,4.91506e-06
97,65,-5.42734e-06,-4.45924e-06,-1.11413e-05,-1.34592e-07,-4.41288e-06,1.07902e-06,-9.08308e-06,-1.12124e-07,-1.11004e-05,-9.0886e-06,-1.78569e-05,-2.80842e-07,-1.00925e-07,-1.24819e-07,-2.88012e-07,4.84736e-06
97,66,-5.26554e-06,-4.33167e-06,-1.07865e-05,-2.49949e-07,-4.2895e-06,1.02376e-06,-8.80979e-06,-2.09229e-07,-1.07497e-05,-8.81518e-06,-1.72568e-05,-5.15525e-07,-2.19677e-07,-2.21125e-07,-5.22028e-07,4.68053e-06
97,67,-5.01537e-06,-4.13391e-06,-1.02424e-05,-3.52643e-07,-4.09661e-06,9.40768e-07,-8.38683e-06,-2.96237e-07,-1.02101e-05,-8.39182e-06,-1.63386e-05,-7.22823e-07,-3.26218e-07,-3.07118e-07,-7.28712e-07,4.4246e-06
97,68,-4.68974e-06,-3.87563e-06,-9.53866e-06,-4.38043e-07,-3.84354e-06,8.36517e-07,-7.83606e-06,-3.69367e-07,-9.51094e-06,-7.84044e-06,-1.51554e-05,-8.92969e-07,-4.1567e-07,-3.79086e-07,-8.98309e-07,4.09454e-06
97,69,-4.30481e-06,-3.56901e-06,-8.71214e-06,-5.0285e-07,-3.54218e-06,7.18726e-07,-7.18492e-06,-4.2583e-07,-8.68894e-06,-7.18855e-06,-1.37723e-05,-1.01924e-06,-4.84502e-07,-4.34315e-07,-1.0241e-06,3.70884e-06
97,70,-3.87869e-06,-3.22786e-06,-7.80362e-06,-5.453e-07,-3.20607e-06,5.9546e-07,-6.46422e-06,-4.6401e-07,-7.78465e-06,-6.46705e-06,-1.22609e-05,-1.09838e-06,-5.30751e-07,-4.71256e-07,-1.1028e-06,3.28781e-06
97,71,-3.43009e-06,-2.86662e-06,-6.85456e-06,-5.65217e-07,-2.84943e-06,4.74272e-07,-5.70583e-06,-4.83526e-07,-6.83941e-06,-5.70786e-06,-1.06931e-05,-1.13062e-06,-5.54088e-07,-4.89585e-07,-1.13464e-06,2.85188e-06
97,72,-2.97699e-06,-2.49937e-06,-5.9041e-06,-5.63904e-07,-2.48622e-06,3.61505e-07,-4.94039e-06,-4.85191e-07,-5.89226e-06,-4.9417e-06,-9.13578e-06,-1.11938e-06,-5.55719e-07,-4.90156e-07,-1.12303e-06,2.42002e-06
97,73,-2.53546e-06,-2.13899e-06,-4.98648e-06,-5.43914e-07,-2.12924e-06,2.61831e-07,-4.19537e-06,-4.70866e-07,-4.97744e-06,-4.19608e-06,-7.64594e-06,-1.07069e-06,-5.38155e-07,-4.74855e-07,-1.07397e-06,2.00844e-06
97,74,-2.11883e-06,-1.79644e-06,-4.12927e-06,-5.08714e-07,-1.78945e-06,1.78047e-07,-3.49358e-06,-4.43219e-07,-4.12251e-06,-3.49381e-06,-6.26825e-06,-9.92344e-07,-5.04868e-07,-4.46366e-07,-9.95251e-07,1.62975e-06
97,75,-1.73717e-06,-1.4803e-06,-3.35242e-06,-4.62299e-07,-1.47545e-06,1.11149e-07,-2.85223e-06,-4.05441e-07,-3.34748e-06,-2.85213e-06,-5.03355e-06,-8.93046e-07,-4.59893e-07,-4.07879e-07,-8.95584e-07,1.29257e-06
97,76,-1.39714e-06,-1.19651e-06,-2.66817e-06,-4.08795e-07,-1.19328e-06,6.06043e-08,-2.28263e-06,-3.60927e-07,-2.66462e-06,-2.28231e-06,-3.95904e-06,-7.81525e-07,-4.07421e-07,-3.62783e-07,-7.83698e-07,1.00158e-06
97,77,-1.1021e-06,-9.48474e-07,-2.0816e-06,-3.5211e-07,-9.46408e-07,2.47566e-08,-1.79039e-06,-3.1298e-07,-2.07911e-06,-1.78996e-06,-3.04979e-06,-6.65798e-07,-3.51435e-07,-3.1437e-07,-6.6762e-07,7.57891e-07
97,78,-8.52587e-07,-7.37188e-07,-1.59175e-06,-2.9565e-07,-7.35931e-07,1.2597e-09,-1.37609e-06,-2.64563e-07,-1.59003e-06,-1.37562e-06,-2.30085e-06,-5.52622e-07,-2.95416e-07,-2.65587e-07,-5.54113e-07,5.59735e-07
97,79,-6.46743e-07,-5.61677e-07,-1.19293e-06,-2.42135e-07,-5.60957e-07,-1.25157e-08,-1.03624e-06,-2.18115e-07,-1.19176e-06,-1.03579e-06,-1.69991e-06,-4.47167e-07,-2.42156e-07,-2.18856e-07,-4.4836e-07,4.03215e-07
97,80,-4.81008e-07,-4.19435e-07,-8.76155e-07,-1.93513e-07,-4.19055e-07,-1.91499e-08,-7.64413e-07,-1.7545e-07,-8.75371e-07,-7.64009e-07,-1.22989e-06,-3.52921e-07,-1.9366e-07,-1.75978e-07,-3.53852e-07,2.83102e-07
97,81,-3.50713e-07,-3.06924e-07,-6.30593e-07,-1.50966e-07,-3.06748e-07,-2.09394e-08,-5.52311e-07,-1.37742e-07,-6.30076e-07,-5.51971e-07,-8.71337e-07,-2.71781e-07,-1.51159e-07,-1.38111e-07,-2.72489e-07,1.93557e-07
97,82,-2.50658e-07,-2.20043e-07,-4.44718e-07,-1.14996e-07,-2.19981e-07,-1.97644e-08,-3.90812e-07,-1.05564e-07,-4.44382e-07,-3.90539e-07,-6.04462e-07,-2.04278e-07,-1.15187e-07,-1.05817e-07,-2.04803e-07,1.28718e-07
97,83,-1.75571e-07,-1.54528e-07,-3.07271e-07,-8.55422e-08,-1.54523e-07,-1.70443e-08,-2.70777e-07,-7.89813e-08,-3.07056e-07,-2.70568e-07,-4.10542e-07,-1.4989e-07,-8.57083e-08,-7.9152e-08,-1.50269e-07,8.31362e-08
97,84,-1.20509e-07,-1.0628e-07,-2.07982e-07,-6.21499e-08,-1.06301e-07,-1.3767e-08,-1.83679e-07,-5.76962e-08,-2.07846e-07,-1.83524e-07,-2.72977e-07,-1.07386e-07,-6.2283e-08,-5.78091e-08,-1.07654e-07,5.20525e-08
97,85,-8.10637e-08,-7.15825e-08,-1.37929e-07,-4.41121e-08,-7.16099e-08,-1.05541e-08,-1.21979e-07,-4.11632e-08,-1.37845e-07,-1.21868e-07,-1.77722e-07,-7.51382e-08,-4.42125e-08,-4.12363e-08,-7.53222e-08,3.1521e-08
97,86,-5.34471e-08,-4.72101e-08,-8.96348e-08,-3.05922e-08,-4.7236e-08,-7.73956e-09,-7.92992e-08,-2.86887e-08,-8.95834e-08,-7.92219e-08,-1.13313e-07,-5.1357e-08,-3.06644e-08,-2.8735e-08,-5.14804e-08,1.84025e-08
97,87,-3.45442e-08,-3.04859e-08,-5.70877e-08,-2.07341e-08,-3.05071e-08,-5.45574e-09,-5.04639e-08,-1.9534e-08,-5.70567e-08,-5.04116e-08,-7.07622e-08,-3.42959e-08,-2.07839e-08,-1.95626e-08,-3.43766e-08,1.03079e-08
97,88,-2.19021e-08,-1.92755e-08,-3.5648e-08,-1.37403e-08,-1.92915e-08,-3.70904e-09,-3.14352e-08,-1.29954e-08,-3.56296e-08,-3.14008e-08,-4.32971e-08,-2.23839e-08,-1.37735e-08,-1.30127e-08,-2.24355e-08,5.49605e-09
97,89,-1.36513e-08,-1.19367e-08,-2.18527e-08,-8.91447e-09,-1.1948e-08,-2.43783e-09,-1.91708e-08,-8.44896e-09,-2.18419e-08,-1.91487e-08,-2.59842e-08,-1.42896e-08,-8.93597e-09,-8.4592e-09,-1.43219e-08,2.75028e-09
97,90,-8.39867e-09,-7.24486e-09,-1.31839e-08,-5.67461e-09,-7.25253e-09,-1.55223e-09,-1.14506e-08,-5.37028e-09,-1.31777e-08,-1.14367e-08,-1.53279e-08,-8.93499e-09,-5.68825e-09,-5.37627e-09,-8.95491e-09,1.25483e-09
97,91,-5.12753e-09,-4.31415e-09,-7.85544e-09,-3.5539e-09,-4.31919e-09,-9.59115e-10,-6.7029e-09,-3.33874e-09,-7.85186e-09,-6.69425e-09,-8.91525e-09,-5.48196e-09,-3.56243e-09,-3.34226e-09,-5.49412e-09,4.85985e-10
97,92,-3.12005e-09,-2.52321e-09,-4.63778e-09,-2.19463e-09,-2.52643e-09,-5.75894e-10,-3.84821e-09,-2.03119e-09,-4.63574e-09,-3.84291e-09,-5.1296e-09,-3.30562e-09,-2.19994e-09,-2.03329e-09,-3.31302e-09,1.21474e-10
97,93,-1.89336e-09,-1.45053e-09,-2.71674e-09,-1.33707e-09,-1.45255e-09,-3.36384e-10,-2.16807e-09,-1.20953e-09,-2.71557e-09,-2.16486e-09,-2.92524e-09,-1.96061e-09,-1.34036e-09,-1.2108e-09,-1.9651e-09,-2.93595e-11
97,94,-1.14103e-09,-8.19352e-10,-1.57659e-09,-8.02122e-10,-8.20596e-10,-1.91013e-10,-1.19854e-09,-7.04736e-10,-1.57593e-09,-1.19662e-09,-1.65286e-09,-1.14285e-09,-8.0415e-10,-7.05525e-10,-1.14556e-09,-7.48555e-11
97,95,-6.75836e-10,-4.55042e-10,-9.00106e-10,-4.72943e-10,-4.55784e-10,-1.06156e-10,-6.5087e-10,-4.02285e-10,-8.99736e-10,-6.4975e-10,-9.19298e-10,-6.54584e-10,-4.7417e-10,-4.02772e-10,-6.56191e-10,-7.49454e-11
97,96,-3.94278e-10,-2.44973e-10,-5.08993e-10,-2.69971e-10,-2.45415e-10,-5.48885e-11,-3.42557e-10,-2.22148e-10,-5.08791e-10,-3.41909e-10,-5.10272e-10,-3.63248e-10,-2.70703e-10,-2.22439e-10,-3.64186e-10,-5.65507e-11
97,97,-2.02721e-10,-1.38381e-10,-2.52727e-10,-1.59733e-10,-1.38593e-10,-3.66688e-11,-1.89772e-10,-1.29067e-10,-2.52622e-10,-1.89452e-10,-2.38261e-10,-2.10449e-10,-1.60126e-10,-1.29248e-10,-2.1095e-10,-4.73804e-11
97,98,-1.73187e-10,-4.00071e-11,-2.23218e-10,-5.5063e-11,-4.02584e-11,1.09664e-11,-5.21461e-11,-3.75412e-11,-2.23164e-10,-5.18388e-11,-2.49126e-10,-6.73088e-11,-5.53783e-11,-3.76056e-11,-6.76804e-11,3.30835e-12
97,99,-1.06928e-10,-1.18547e-11,-1.38989e-10,-2.07597e-11,-1.2019e-11,1.34614e-11,-1.45048e-11,-1.11709e-11,-1.38961e-10,-1.43125e-11,-1.60913e-10,-2.33966e-11,-2.09522e-11,-1.11994e-11,-2.36174e-11,9.28627e-12
97,100,-5.64028e-11,-3.26595e-12,-7.42185e-11,-8.36654e-12,-3.35616e-12,8.76198e-12,-3.73129e-12,-3.48167e-12,-7.42071e-11,-3.6294e-12,-8.73716e-11,-8.77445e-12,-8.47119e-12,-3.49619e-12,-8.89087e-12,6.66336e-12
97,101,-2.58749e-11,-4.51834e-13,-3.51062e-11,-3.4559e-12,-4.9704e-13,4.82339e-12,-4.61866e-13,-1.1706e-12,-3.51037e-11,-4.14084e-13,-4.2081e-11,-3.42575e-12,-3.50892e-12,-1.17845e-12,-3.48139e-12,3.78398e-12
97,102,-9.72791e-12,4.6599e-13,-1.43116e-11,-1.40779e-12,4.44789e-13,2.46817e-12,5.2623e-13,-4.33593e-13,-1.43134e-11,5.4568e-13,-1.77854e-11,-1.32989e-12,-1.43328e-12,-4.37895e-13,-1.35364e-12,1.93889e-12
97,103,-2.18336e-12,6.77606e-13,-4.38319e-12,-5.64448e-13,6.68266e-13,1.21164e-12,7.32895e-13,-1.83193e-13,-4.38646e-12,7.38986e-13,-6.0404e-12,-5.04144e-13,-5.76157e-13,-1.85569e-13,-5.1261e-13,9.21709e-13
97,104,7.56082e-13,6.16481e-13,-2.6343e-13,-2.3851e-13,6.12646e-13,5.76229e-13,6.57769e-13,-9.1784e-14,-2.66711e-13,6.58332e-13,-1.02277e-12,-1.96731e-13,-2.43674e-13,-9.31159e-14,-1.98626e-13,4.02363e-13
97,105,1.4989e-12,4.68444e-13,1.04654e-12,-1.22963e-13,4.67005e-13,2.64659e-13,4.98125e-13,-5.47213e-14,1.04386e-12,4.96889e-13,7.1529e-13,-9.35258e-14,-1.25163e-13,-5.5483e-14,-9.30517e-14,1.53502e-13
97,106,1.35964e-12,3.1702e-13,1.17102e-12,-8.27344e-14,3.16549e-13,1.15558e-13,3.38113e-13,-3.69003e-14,1.16908e-12,3.36648e-13,1.0366e-12,-6.15919e-14,-8.36472e-14,-3.73428e-14,-6.05691e-14,4.32584e-14
97,107,9.77023e-13,1.95573e-13,9.05881e-13,-6.40808e-14,1.95456e-13,4.63095e-14,2.10313e-13,-2.6228e-14,9.04597e-13,2.09147e-13,8.57783e-13,-4.90352e-14,-6.44557e-14,-2.64865e-14,-4.81269e-14,2.64871e-16
97,108,6.16016e-13,1.11055e-13,5.93994e-13,-4.97319e-14,1.11049e-13,1.56701e-14,1.21079e-13,-1.86299e-14,5.93201e-13,1.20293e-13,5.81101e-13,-3.93631e-14,-4.98877e-14,-1.87797e-14,-3.87263e-14,-1.24373e-14
97,109,3.53542e-13,5.81989e-14,3.5003e-13,-3.64646e-14,5.82167e-14,3.22914e-15,6.47793e-14,-1.2839e-14,3.49569e-13,6.43008e-14,3.49765e-13,-2.96221e-14,-3.65318e-14,-1.2924e-14,-2.92286e-14,-1.30762e-14
97,110,1.8803e-13,2.80871e-14,1.90187e-13,-2.4935e-14,2.81033e-14,-1.03259e-15,3.22356e-14,-8.4693e-15,1.89933e-13,3.19656e-14,1.93285e-13,-2.06271e-14,-2.49656e-14,-8.51619e-15,-2.04039e-14,-1.00083e-14
97,111,9.32372e-14,1.2373e-14,9.62295e-14,-1.59387e-14,1.23833e-14,-1.92765e-15,1.48785e-14,-5.32078e-15,9.60965e-14,1.47353e-14,9.93607e-14,-1.33508e-14,-1.59535e-14,-5.34583e-15,-1.32326e-14,-6.62512e-15
97,112,4.33419e-14,4.85867e-15,4.57061e-14,-9.57997e-15,4.86412e-15,-1.65511e-15,6.30731e-15,-3.18072e-15,4.56395e-14,6.23528e-15,4.79888e-14,-8.09422e-15,-9.58743e-15,-3.19363e-15,-8.0351e-15,-4.00204e-15
97,113,1.88962e-14,1.62517e-15,2.04378e-14,-5.44659e-15,1.62776e-15,-1.13611e-15,2.42726e-15,-1.81108e-15,2.04058e-14,2.3927e-15,2.1875e-14,-4.62983e-15,-5.45042e-15,-1.8175e-15,-4.60168e-15,-2.2594e-15
97,114,7.64339e-15,3.85361e-16,8.54502e-15,-2.94421e-15,3.8647e-16,-6.89964e-16,8.11064e-16,-9.84044e-16,8.53028e-15,7.95219e-16,9.37e-15,-2.5134e-15,-2.94618e-15,-9.87133e-16,-2.50064e-15,-1.20748e-15
97,115,2.88396e-15,-7.3265e-18,3.37267e-15,-1.51967e-15,-6.88784e-18,-3.85077e-16,2.09571e-16,-5.11343e-16,3.36612e-15,2.02581e-16,3.81493e-15,-1.30125e-15,-1.52066e-15,-5.12775e-16,-1.29569e-15,-6.15576e-16
97,116,9.51611e-16,-8.83728e-17,1.20131e-15,-7.52053e-16,-8.82269e-17,-2.01407e-16,1.79182e-17,-2.54846e-16,1.19851e-15,1.49698e-17,1.42573e-15,-6.45351e-16,-7.52554e-16,-2.55492e-16,-6.43049e-16,-3.01045e-16
97,117,3.00784e-16,-7.58036e-17,4.2239e-16,-3.58413e-16,-7.57539e-17,-9.99409e-17,-2.55148e-17,-1.22282e-16,4.2122e-16,-2.67346e-17,5.31181e-16,-3.08035e-16,-3.58643e-16,-1.22561e-16,-3.07094e-16,-1.41947e-16
97,118,-4.20641e-19,-4.81512e-17,5.63617e-17,-1.64935e-16,-4.81579e-17,-4.74039e-17,-2.51856e-17,-5.66124e-17,5.59068e-17,-2.56338e-17,1.07024e-16,-1.41906e-16,-1.65066e-16,-5.6737e-17,-1.41582e-16,-6.47087e-17
97,119,-3.01177e-17,-2.65443e-17,-4.5695e-18,-7.34571e-17,-2.65525e-17,-2.16033e-17,-1.63716e-17,-2.53458e-17,-4.74607e-18,-1.654e-17,1.81819e-17,-6.32499e-17,-7.35172e-17,-2.53976e-17,-6.31334e-17,-2.85861e-17
97,120,-5.54642e-18,-1.34223e-17,5.57661e-18,-3.1772e-17,-1.34229e-17,-9.49403e-18,-9.03436e-18,-1.1011e-17,5.50571e-18,-9.10459e-18,1.54653e-17,-2.73726e-17,-3.17922e-17,-1.10306e-17,-2.73219e-17,-1.2278e-17
97,121,-7.19403e-18,-6.29196e-18,-2.49847e-18,-1.33586e-17,-6.29317e-18,-4.04286e-18,-4.45532e-18,-4.64543e-18,-2.52464e-18,-4.48028e-18,1.67291e-18,-1.15137e-17,-1.33676e-17,-4.65324e-18,-1.14966e-17,-5.1302e-18
97,122,-1.30215e-18,-2.82917e-18,6.20428e-19,-5.45676e-18,-2.82916e-18,-1.66769e-18,-2.08043e-18,-1.90254e-18,6.10321e-19,-2.09055e-18,2.32722e-18,-4.70481e-18,-5.4595e-18,-1.90529e-18,-4.69744e-18,-2.08379e-18
97,123,-9.92798e-19,-1.20245e-18,-2.30044e-19,-2.16431e-18,-1.20253e-18,-6.66471e-19,-9.06422e-19,-7.55888e-19,-2.33634e-19,-9.09931e-19,4.47107e-19,-1.86663e-18,-2.16547e-18,-7.5697e-19,-1.8642e-18,-8.2193e-19
