x,z,Gamma000,Gamma001,Gamma002,Gamma010,Gamma011,Gamma012,Gamma020,Gamma021,Gamma022,Gamma100,Gamma101,Gamma102,Gamma110,Gamma111,Gamma112,Gamma120,Gamma121,Gamma122,Gamma200,Gamma201,Gamma202,Gamma210,Gamma211,Gamma212,Gamma220,Gamma221,Gamma222
-5.42857,-5.80952,-0.00869652,-0.00214866,0.00649997,-0.0020973,-0.0219243,-0.00091668,0.0065264,-0.00086782,-0.0317868,0.00236029,0.00116825,-0.000354028,0.00116788,0.00216661,0.00450007,-0.000321945,0.0044971,0.00137111,0.00581331,-0.00170336,0.0176271,-0.00166079,-0.0274901,-0.000367685,0.0176376,-0.000234595,-0.000932665
-5.42857,-5.61905,-0.00753226,-0.00236969,0.014107,-0.00231081,-0.0230672,-0.00221828,0.0140928,-0.00215787,-0.019222,0.00229562,0.00131641,-0.00159825,0.00131567,0.00230105,0.001527,-0.00156404,0.00152324,-0.000264841,-0.00168457,-0.000376994,0.0165401,-0.000385902,-0.024099,-0.000206568,0.0165373,-0.00014836,-0.0045861
-5.42857,-5.42857,-0.00712999,-0.00250855,0.0161283,-0.00244594,-0.0239258,-0.00245105,0.016122,-0.00238272,-0.00268506,0.00226251,0.0014304,-0.0019496,0.00142964,0.00241238,0.00170758,-0.00191221,0.00170363,-0.0027094,-0.00235922,-0.000242945,0.0165037,-0.000252682,-0.0246584,-0.000201794,0.0165183,-0.000134058,-0.00685714
-5.42857,-5.2381,-0.00650001,-0.00270673,0.01876,-0.00264126,-0.0251712,-0.00281142,0.0187904,-0.00273384,-0.00772495,0.00222301,0.00153402,-0.00243168,0.00153319,0.00257583,0.00141763,-0.00239149,0.00141328,-0.00214873,-0.00363925,2.91398e-05,0.0166779,1.00748e-05,-0.024671,-0.00017237,0.0166862,-0.00011052,-0.00581117
-5.42857,-5.04762,-0.00598966,-0.00288131,0.0189459,-0.00281357,-0.0263865,-0.00280811,0.0189678,-0.0027217,-0.00894155,0.0021763,0.00164385,-0.00257696,0.00164299,0.0027389,0.00160911,-0.00253413,0.00160442,-0.00209197,-0.00240023,-5.38123e-05,0.0169441,-7.66669e-05,-0.025085,-0.000177925,0.0169519,-0.000111065,-0.00692344
-5.42857,-4.85714,-0.00533256,-0.00307601,0.0198176,-0.00300629,-0.0276771,-0.00290511,0.0198427,-0.00280869,-0.0101766,0.00210236,0.00176445,-0.00283279,0.00176353,0.00291406,0.00166199,-0.00278709,0.00165694,-0.00203158,-0.00183024,-3.42303e-05,0.0171073,-6.34249e-05,-0.0253343,-0.000172284,0.017116,-0.000103962,-0.00755919
-5.42857,-4.66667,-0.00458683,-0.0032798,0.0205591,-0.00320865,-0.0290167,-0.00298091,0.0205854,-0.00287368,-0.0115786,0.00200237,0.00189468,-0.00308213,0.00189372,0.00309857,0.00173793,-0.00303349,0.00173249,-0.00193755,-0.00110385,-3.16332e-05,0.0172331,-6.76301e-05,-0.0255624,-0.000167405,0.0172422,-9.7632e-05,-0.00830561
-5.42857,-4.47619,-0.00373219,-0.00349542,0.0213296,-0.00342353,-0.0304127,-0.00305917,0.0213583,-0.00294024,-0.0131035,0.00187228,0.00203536,-0.00334743,0.00203435,0.0032935,0.00180569,-0.00329576,0.00179986,-0.00181539,-0.000398222,-2.11471e-05,0.0173002,-6.48543e-05,-0.0257346,-0.00016065,0.0173097,-9.03632e-05,-0.00902148
-5.42857,-4.28571,-0.00276698,-0.00372199,0.0220597,-0.00365024,-0.0318624,-0.00313004,0.0220906,-0.0029986,-0.0147619,0.0017091,0.00218695,-0.0036181,0.00218589,0.00349873,0.00187427,-0.00356338,0.00186804,-0.00166031,0.000341816,-1.13562e-05,0.0173078,-6.35564e-05,-0.0258527,-0.000152821,0.0173174,-8.28783e-05,-0.00974691
-5.42857,-4.09524,-0.00168472,-0.00395947,0.0227496,-0.00388891,-0.0333642,-0.00319388,0.0227829,-0.00304918,-0.016557,0.00150939,0.00234999,-0.003893,0.00234888,0.00371421,0.00194058,-0.0038352,0.00193394,-0.00146919,0.0010965,-4.57895e-07,0.0172486,-6.19468e-05,-0.0259074,-0.000143651,0.0172583,-7.51659e-05,-0.0104627
-5.42857,-3.90476,-0.000481198,-0.0042074,0.0233834,-0.00413932,-0.0349155,-0.00324882,0.0234192,-0.00309021,-0.0184916,0.00126998,0.00252489,-0.00416817,0.00252372,0.00393971,0.00200377,-0.00410734,0.00199673,-0.00123869,0.00185964,1.11925e-05,0.0171173,-6.03302e-05,-0.0258908,-0.000133102,0.0171269,-6.73957e-05,-0.0111597
-5.42857,-3.71429,0.000846465,-0.00446518,0.023946,-0.00440108,-0.0365126,-0.00329317,0.0239844,-0.00312015,-0.0205663,0.000987936,0.00271195,-0.00443921,0.00271071,0.00417486,0.00206243,-0.00437545,0.00205501,-0.000965806,0.00262115,2.35339e-05,0.0169089,-5.86834e-05,-0.0257946,-0.000121116,0.0169182,-5.97372e-05,-0.0118258
-5.42857,-3.52381,0.00229919,-0.00473196,0.0244205,-0.00467354,-0.0381508,-0.00332503,0.0244615,-0.00313734,-0.0227795,0.00066081,0.00291127,-0.00470082,0.00290997,0.00441904,0.00211507,-0.00463427,0.00210727,-0.000647937,0.00336991,3.63942e-05,0.0166194,-5.70479e-05,-0.02561,-0.000107656,0.0166283,-5.23864e-05,-0.0124472
-5.42857,-3.33333,0.00387554,-0.00500661,0.0247886,-0.00495583,-0.0398239,-0.00334247,0.0248322,-0.0031401,-0.0251265,0.000286799,0.00312276,-0.00494685,0.00312138,0.00467143,0.00215994,-0.00487774,0.00215181,-0.000283145,0.00409321,4.9565e-05,0.0162461,-5.54487e-05,-0.0253281,-9.27075e-05,0.0162541,-4.5555e-05,-0.0130091
-5.42857,-3.14286,0.00557125,-0.00528774,0.025031,-0.00524675,-0.0415248,-0.00334345,0.0250772,-0.00312676,-0.0275995,-0.000135017,0.00334605,-0.00517035,0.00334457,0.00493094,0.00219516,-0.005099,0.00218674,0.000129647,0.004777,6.27855e-05,0.0157876,-5.39046e-05,-0.02494,-7.62827e-05,0.0157945,-3.94642e-05,-0.0134953
