x,z,rho,p,vx,vy,vz
4.8,9.6,7.72046e-13,2.31614e-13,-0.0189772,0.170795,0
4.8,9.7,2.66234e-13,7.98703e-14,-0.018625,0.167625,0
4.8,9.8,8.99832e-14,2.6995e-14,-0.0182856,0.164571,0
4.8,9.9,2.98081e-14,8.94244e-15,-0.0179584,0.161625,0
4.8,10,9.67796e-15,2.90339e-15,-0.0176426,0.158783,0
4.8,10.1,3.0797e-15,9.2391e-16,-0.0173376,0.156039,0
4.8,10.2,9.60526e-16,2.88158e-16,-0.017043,0.153387,0
4.8,10.3,2.9362e-16,8.80861e-17,-0.0167583,0.150824,0
4.8,10.4,8.79708e-17,2.63912e-17,-0.0164828,0.148345,0
4.8,10.5,2.58325e-17,7.74976e-18,-0.0162163,0.145946,0
4.8,10.6,7.43483e-18,2.23045e-18,-0.0159582,0.143624,0
4.8,10.7,7.43483e-18,2.23045e-18,-0.0159582,0.143624,0
4.9,-2,6.72435e-18,2.01731e-18,-0.0159379,0.175317,0
4.9,-1.9,6.72435e-18,2.01731e-18,-0.0159379,0.175317,0
4.9,-1.8,2.33639e-17,7.00918e-18,-0.016195,0.178145,0
4.9,-1.7,7.95642e-17,2.38693e-17,-0.0164605,0.181065,0
4.9,-1.6,2.65562e-16,7.96685e-17,-0.0167348,0.184083,0
4.9,-1.5,8.68738e-16,2.60621e-16,-0.0170183,0.187202,0
4.9,-1.4,2.7854e-15,8.35621e-16,-0.0173116,0.190428,0
4.9,-1.3,8.75312e-15,2.62594e-15,-0.0176152,0.193767,0
4.9,-1.2,2.69596e-14,8.08789e-15,-0.0179295,0.197224,0
4.9,-1.1,8.13844e-14,2.44153e-14,-0.0182551,0.200807,0
4.9,-1,2.40793e-13,7.22379e-14,-0.0185928,0.204521,0
4.9,-0.9,6.98268e-13,2.0948e-13,-0.0189431,0.208374,0
4.9,-0.8,1.98462e-12,5.95385e-13,-0.0193068,0.212375,0
4.9,-0.7,5.5285e-12,1.65855e-12,-0.0196846,0.216531,0
4.9,-0.6,1.50943e-11,4.52829e-12,-0.0200774,0.220852,0
