x,z,alpha,beta0,beta1,beta2,d_alpha_dt,d_beta0_dt,d_beta1_dt,d_beta2_dt
-4.83673,4.83673,0.632722,-0.0994975,0.0155588,0.110867,0.0681025,0.0361323,-0.00798299,-0.0127241
-4.83673,4.95918,0.638787,-0.096317,0.0148611,0.109721,0.0666823,0.034559,-0.00752858,-0.0127554
-4.83673,5.08163,0.644725,-0.0932744,0.0142028,0.108572,0.0652625,0.0330676,-0.00710462,-0.0127572
-4.83673,5.20408,0.650535,-0.0903625,0.0135814,0.107425,0.0638477,0.0316533,-0.00670884,-0.0127334
-4.83673,5.32653,0.656218,-0.0875746,0.0129944,0.106281,0.062442,0.0303119,-0.00633917,-0.0126873
-4.83673,5.44898,0.661775,-0.0849043,0.0124396,0.105142,0.0610487,0.0290393,-0.00599366,-0.0126219
-4.83673,5.57143,0.667207,-0.0823456,0.0119149,0.10401,0.0596711,0.0278316,-0.00567054,-0.0125399
-4.83673,5.69388,0.672516,-0.0798928,0.0114183,0.102885,0.0583114,0.0266851,-0.00536816,-0.0124436
-4.83673,5.81633,0.677704,-0.0775406,0.010948,0.10177,0.0569719,0.0255963,-0.00508501,-0.0123351
-4.83673,5.93878,0.682772,-0.0752838,0.0105024,0.100665,0.0556544,0.024562,-0.0048197,-0.0122162
-4.83673,6.06122,0.687722,-0.0731179,0.01008,0.0995714,0.0543602,0.023579,-0.00457095,-0.0120884
-4.83673,6.18367,0.692557,-0.0710381,0.00967921,0.0984895,0.0530906,0.0226446,-0.00433757,-0.0119533
-4.83673,6.30612,0.697279,-0.0690405,0.00929879,0.09742,0.0518464,0.0217558,-0.00411846,-0.0118121
-4.83673,6.42857,0.70189,-0.0671208,0.00893749,0.0963634,0.0506284,0.0209102,-0.00391264,-0.0116658
-4.83673,6.55102,0.706393,-0.0652754,0.00859414,0.0953203,0.0494371,0.0201054,-0.00371916,-0.0115155
-4.83673,6.67347,0.71079,-0.0635007,0.00826769,0.0942908,0.0482728,0.0193391,-0.00353718,-0.0113619
-4.83673,6.79592,0.715083,-0.0617933,0.00795713,0.0932752,0.0471358,0.0186091,-0.00336591,-0.011206
-4.83673,6.91837,0.719275,-0.06015,0.00766153,0.0922737,0.046026,0.0179135,-0.00320461,-0.0110482
-4.83673,7.04082,0.723368,-0.0585679,0.00738002,0.0912865,0.0449434,0.0172504,-0.00305262,-0.0108892
-4.83673,7.16327,0.727366,-0.057044,0.00711179,0.0903137,0.0438879,0.0166179,-0.00290932,-0.0107296
