x,z,rho,p,vx,vy,vz
-1.9,-0.4,0.00494428,0.00149551,-0.0535152,-2.15665,-0.0276188
-1.9,-0.3,0.00566488,0.00171551,-0.0504146,-2.18605,-0.022875
-1.9,-0.2,0.0064319,0.00195025,-0.0472277,-2.21465,-0.0184408
-1.9,-0.1,0.00723683,0.00219724,-0.0439789,-2.24228,-0.0143581
-1.9,1.11022e-16,0.00806898,0.00245325,-0.0406985,-2.26877,-0.0106674
-1.9,0.1,0.00891558,0.00271442,-0.0374224,-2.29393,-0.00740602
-1.9,0.2,0.00976206,0.00297627,-0.0341928,-2.31758,-0.00460593
-1.9,0.3,0.0105924,0.00323382,-0.0310572,-2.33955,-0.00229093
-1.9,0.4,0.0113896,0.00348173,-0.0280679,-2.35963,-0.000473981
-1.9,0.5,0.0121362,0.0037145,-0.0252805,-2.37766,0.000845341
-1.9,0.6,0.0128149,0.0039266,-0.0227522,-2.39348,0.00168305
-1.9,0.7,0.0134095,0.00411276,-0.0205395,-2.40691,0.00207222
-1.9,0.8,0.013905,0.00426816,-0.0186956,-2.41784,0.00206348
-1.9,0.9,0.0142885,0.00438863,-0.0172672,-2.42614,0.00172437
-1.9,1,0.0145501,0.00447088,-0.0162924,-2.43172,0.00113731
-1.9,1.1,0.0146827,0.00451259,-0.0157981,-2.43453,0.000396476
-1.9,1.2,0.0146827,0.00451259,-0.0157981,-2.43453,-0.000396476
-1.9,1.3,0.0145501,0.00447088,-0.0162924,-2.43172,-0.00113731
-1.9,1.4,0.0142885,0.00438863,-0.0172672,-2.42614,-0.00172437
-1.9,1.5,0.013905,0.00426816,-0.0186956,-2.41784,-0.00206348
-1.9,1.6,0.0134095,0.00411276,-0.0205395,-2.40691,-0.00207222
-1.9,1.7,0.0128149,0.0039266,-0.0227522,-2.39348,-0.00168305
-1.9,1.8,0.0121362,0.0037145,-0.0252805,-2.37766,-0.000845341
-1.9,1.9,0.0113896,0.00348173,-0.0280679,-2.35963,0.000473981
-1.9,2,0.0105924,0.00323382,-0.0310572,-2.33955,0.00229093
-1.9,2.1,0.00976206,0.00297627,-0.0341928,-2.31758,0.00460593
-1.9,2.2,0.00891558,0.00271442,-0.0374224,-2.29393,0.00740602
-1.9,2.3,0.00806898,0.00245325,-0.0406985,-2.26877,0.0106674
-1.9,2.4,0.00723683,0.00219724,-0.0439789,-2.24228,0.0143581
-1.9,2.5,0.0064319,0.00195025,-0.0472277,-2.21465,0.0184408
-1.9,2.6,0.00566488,0.00171551,-0.0504146,-2.18605,0.022875
-1.9,2.7,0.00494428,0.00149551,-0.0535152,-2.15665,0.0276188
-1.9,2.8,0.00427638,0.00129206,-0.05651,-2.12659,0.0326312
-1.9,2.9,0.00366531,0.00110631,-0.0593846,-2.09604,0.0378726
-1.9,3,0.00311319,0.000938802,-0.0621283,-2.06512,0.0433059
-1.9,3.1,0.00262036,0.00078954,-0.064734,-2.03396,0.0488972
-1.9,3.2,0.00218563,0.000658078,-0.0671976,-2.00266,0.0546158
-1.9,3.3,0.00180657,0.000543602,-0.0695172,-1.97134,0.0604345
-1.9,3.4,0.00147976,0.000445024,-0.0716932,-1.94009,0.0663293
-1.9,3.5,0.00120113,0.000361061,-0.0737272,-1.90898,0.0722793
-1.9,3.6,0.000966164,0.000290316,-0.0756224,-1.87809,0.078267
-1.9,3.7,0.000770143,0.000231339,-0.0773827,-1.84747,0.0842771
-1.9,3.8,0.000608349,0.00018269,-0.079013,-1.81719,0.0902972
-1.9,3.9,0.000476206,0.000142975,-0.0805183,-1.78729,0.0963142
-1.9,4,0.000369401,0.000110888,-0.0819073,-1.7578,0.102322
-1.9,4.1,0.000283963,8.52292e-05,-0.083173,-1.72878,0.108249
-1.9,4.2,0.000216315,6.49179e-05,-0.0843979,-1.70021,0.0531759
-1.9,4.3,0.000216315,6.49179e-05,-0.056237,-1.69857,0.0266187
-1.8,-2,0.000283963,8.52292e-05,-0.0854288,-1.67002,-0.0265275
-1.8,-1.9,0.000283963,8.52292e-05,-0.142313,-1.67165,-0.0529681
-1.8,-1.8,0.000372767,0.000111899,-0.141103,-1.70069,-0.1081
-1.8,-1.7,0.000484924,0.000145595,-0.139818,-1.73026,-0.102105
-1.8,-1.6,0.00062513,0.000187734,-0.138402,-1.76035,-0.0960225
-1.8,-1.5,0.000798598,0.000239898,-0.136857,-1.79092,-0.0899253
-1.8,-1.4,0.00101099,0.000303808,-0.135171,-1.82194,-0.0838198
-1.8,-1.3,0.00126831,0.000381298,-0.133338,-1.85336,-0.0777189
-1.8,-1.2,0.00157676,0.000474272,-0.131351,-1.88512,-0.0716357
-1.8,-1.1,0.00194253,0.000584646,-0.129202,-1.91718,-0.0655857
-1.8,-1,0.00237154,0.000714273,-0.126886,-1.94946,-0.0595877
-1.8,-0.9,0.00286914,0.000864859,-0.124399,-1.98187,-0.0536634
