x,z,Gamma000,Gamma001,Gamma002,Gamma010,Gamma011,Gamma012,Gamma020,Gamma021,Gamma022,Gamma100,Gamma101,Gamma102,Gamma110,Gamma111,Gamma112,Gamma120,Gamma121,Gamma122,Gamma200,Gamma201,Gamma202,Gamma210,Gamma211,Gamma212,Gamma220,Gamma221,Gamma222
4.66667,-0.857143,-0.0244242,0.0514002,0.0315372,0.0514101,0.146993,-0.00754201,0.0315375,-0.00753927,0.157322,0.0237172,-0.0231247,-0.035359,-0.023122,-0.0508908,0.0111454,-0.0353584,0.0111459,-0.04711,0.0189774,0.00535113,-0.00892475,0.00534737,-0.0438731,-0.00177093,-0.00892458,-0.00176832,-0.0324655
4.66667,-0.666667,-0.0270965,0.0518978,0.0252437,0.0519086,0.150408,-0.00583083,0.025244,-0.00582852,0.162325,0.0279273,-0.0245915,-0.0287956,-0.0245887,-0.0520628,0.00906272,-0.0287951,0.00906315,-0.052781,0.0156867,0.00432277,-0.00537604,0.00431961,-0.0350428,-0.00111691,-0.00537582,-0.00111382,-0.0262808
4.66667,-0.47619,-0.0292094,0.0522599,0.0184299,0.0522715,0.153087,-0.00414089,0.0184301,-0.00413913,0.166221,0.0312953,-0.0257594,-0.0212987,-0.0257563,-0.0529721,0.00669577,-0.0212983,0.0066961,-0.0573105,0.0117282,0.00317808,-0.00254294,0.00317568,-0.025545,-0.000585534,-0.00254267,-0.000582045,-0.0193504
4.66667,-0.285714,-0.0306727,0.0524953,0.0112221,0.0525074,0.154931,-0.00247334,0.0112222,-0.00247223,0.168889,0.0336472,-0.0265723,-0.0130826,-0.0265691,-0.0535934,0.00410984,-0.0130824,0.00411005,-0.0604699,0.00725455,0.00194429,-0.000567429,0.00194279,-0.0155393,-0.00021041,-0.000567122,-0.000206629,-0.0118497
4.66667,-0.0952381,-0.0314214,0.052611,0.00376856,0.0526234,0.155872,-0.000822411,0.0037686,-0.000822035,0.170246,0.0348565,-0.0269894,-0.00441261,-0.0269862,-0.0539088,0.0013857,-0.00441253,0.00138577,-0.0620934,0.00245531,0.000654469,0.000447437,0.000653958,-0.00521586,-1.62807e-05,0.000447763,-1.23467e-05,-0.00399062
4.66667,0.0952381,-0.0314214,0.052611,-0.00376856,0.0526234,0.155872,0.000822411,-0.0037686,0.000822035,0.170246,0.0348565,-0.0269894,0.00441261,-0.0269862,-0.0539088,-0.0013857,0.00441253,-0.00138577,-0.0620934,-0.00245531,-0.000654469,0.000447437,-0.000653958,0.00521586,-1.62807e-05,0.000447763,-1.23467e-05,0.00399062
4.66667,0.285714,-0.0306727,0.0524953,-0.0112221,0.0525074,0.154931,0.00247334,-0.0112222,0.00247223,0.168889,0.0336472,-0.0265723,0.0130826,-0.0265691,-0.0535934,-0.00410984,0.0130824,-0.00411005,-0.0604699,-0.00725455,-0.00194429,-0.000567429,-0.00194279,0.0155393,-0.00021041,-0.000567122,-0.000206629,0.0118497
4.66667,0.47619,-0.0292094,0.0522599,-0.0184299,0.0522715,0.153087,0.00414089,-0.0184301,0.00413913,0.166221,0.0312953,-0.0257594,0.0212987,-0.0257563,-0.0529721,-0.00669577,0.0212983,-0.0066961,-0.0573105,-0.0117282,-0.00317808,-0.00254294,-0.00317568,0.025545,-0.000585534,-0.00254267,-0.000582045,0.0193504
4.66667,0.666667,-0.0270965,0.0518978,-0.0252437,0.0519086,0.150408,0.00583083,-0.025244,0.00582852,0.162325,0.0279273,-0.0245915,0.0287956,-0.0245887,-0.0520628,-0.00906272,0.0287951,-0.00906315,-0.052781,-0.0156867,-0.00432277,-0.00537604,-0.00431961,0.0350428,-0.00111691,-0.00537582,-0.00111382,0.0262808
4.66667,0.857143,-0.0244242,0.0514002,-0.0315372,0.0514101,0.146993,0.00754201,-0.0315375,0.00753927,0.157322,0.0237172,-0.0231247,0.035359,-0.023122,-0.0508908,-0.0111454,0.0353584,-0.0111459,-0.04711,-0.0189774,-0.00535113,-0.00892475,-0.00534737,0.0438731,-0.00177093,-0.00892458,-0.00176832,0.0324655
4.66667,1.04762,-0.0213001,0.0507588,-0.0372109,0.0507676,0.142958,0.00926544,-0.0372112,0.00926241,0.151359,0.0188701,-0.021425,0.0408368,-0.0214226,-0.0494874,-0.0128976,0.0408361,-0.0128982,-0.040567,-0.0214936,-0.00624305,-0.013021,-0.0062389,0.0519134,-0.00250866,-0.0130209,-0.00250657,0.0377744
4.66667,1.2381,-0.0178409,0.0499671,-0.0421953,0.0499749,0.138428,0.0109847,-0.0421956,0.0109815,0.1446,0.0136045,-0.0195632,0.0451434,-0.019561,-0.0478872,-0.0142933,0.0451426,-0.0142939,-0.03344,-0.023177,-0.00698615,-0.0174845,-0.00698177,0.0590815,-0.00328956,-0.0174845,-0.003288,0.0421265
4.66667,1.42857,-0.0141644,0.0490226,-0.0464507,0.0490293,0.133528,0.0126773,-0.046451,0.0126741,0.137219,0.00813652,-0.0176092,0.0482574,-0.0176074,-0.0461269,-0.0153261,0.0482566,-0.0153267,-0.0260139,-0.0240162,-0.00757552,-0.0221364,-0.00757108,0.0653346,-0.00407485,-0.0221364,-0.00407378,0.0454887
