x,z,alpha,beta0,beta1,beta2,d_alpha_dt,d_beta0_dt,d_beta1_dt,d_beta2_dt
-247.873,-190.984,0.807556,-0.396887,0.104327,-0.325525,0,0,0,0
-247.873,-182.857,0.805261,-0.409037,0.109129,-0.321819,0,0,0,0
-247.873,-174.73,0.802965,-0.421409,0.11409,-0.317424,0,0,0,0
-247.873,-166.603,0.800673,-0.433974,0.119202,-0.312288,0,0,0,0
-247.873,-158.476,0.798392,-0.446696,0.124452,-0.306361,0,0,0,0
-247.873,-150.349,0.796128,-0.459534,0.129822,-0.299592,0,0,0,0
-247.873,-142.222,0.793887,-0.472437,0.135292,-0.29193,0,0,0,0
-247.873,-134.095,0.79168,-0.485351,0.140837,-0.283328,0,0,0,0
-247.873,-125.968,0.789513,-0.498212,0.146429,-0.273742,0,0,0,0
-247.873,-117.841,0.787397,-0.510949,0.152033,-0.263133,0,0,0,0
-247.873,-109.714,0.785343,-0.523483,0.157612,-0.251469,0,0,0,0
-247.873,-101.587,0.78336,-0.53573,0.163121,-0.238725,0,0,0,0
-247.873,-93.4603,0.781463,-0.547596,0.168514,-0.224889,0,0,0,0
-247.873,-85.3333,0.779661,-0.558985,0.17374,-0.209958,0,0,0,0
-247.873,-77.2063,0.777969,-0.569794,0.178743,-0.193944,0,0,0,0
-247.873,-69.0794,0.776399,-0.57992,0.183467,-0.176876,0,0,0,0
-247.873,-60.9524,0.774963,-0.589256,0.187855,-0.158796,0,0,0,0
-247.873,-52.8254,0.773675,-0.597699,0.191849,-0.139767,0,0,0,0
-247.873,-44.6984,0.772545,-0.60515,0.195394,-0.119868,0,0,0,0
-247.873,-36.5714,0.771585,-0.611517,0.198438,-0.0991968,0,0,0,0
-247.873,-28.4444,0.770805,-0.616718,0.200934,-0.0778676,0,0,0,0
-247.873,-20.3175,0.770212,-0.620683,0.202843,-0.0560092,0,0,0,0
-247.873,-12.1905,0.769813,-0.623357,0.204134,-0.0337633,0,0,0,0
-247.873,-4.06349,0.769613,-0.624704,0.204785,-0.0112809,0,0,0,0
-247.873,4.06349,0.769613,-0.624704,0.204785,0.0112809,0,0,0,0
-247.873,12.1905,0.769813,-0.623357,0.204134,0.0337633,0,0,0,0
-247.873,20.3175,0.770212,-0.620683,0.202843,0.0560092,0,0,0,0
-247.873,28.4444,0.770805,-0.616718,0.200934,0.0778676,0,0,0,0
-247.873,36.5714,0.771585,-0.611517,0.198438,0.0991968,0,0,0,0
-247.873,44.6984,0.772545,-0.60515,0.195394,0.119868,0,0,0,0
-247.873,52.8254,0.773675,-0.597699,0.191849,0.139767,0,0,0,0
-247.873,60.9524,0.774963,-0.589256,0.187855,0.158796,0,0,0,0
-247.873,69.0794,0.776399,-0.57992,0.183467,0.176876,0,0,0,0
-247.873,77.2063,0.777969,-0.569794,0.178743,0.193944,0,0,0,0
-247.873,85.3333,0.779661,-0.558985,0.17374,0.209958,0,0,0,0
-247.873,93.4603,0.781463,-0.547596,0.168514,0.224889,0,0,0,0
-247.873,101.587,0.78336,-0.53573,0.163121,0.238725,0,0,0,0
-247.873,109.714,0.785343,-0.523483,0.157612,0.251469,0,0,0,0
-247.873,117.841,0.787397,-0.510949,0.152033,0.263133,0,0,0,0
-247.873,125.968,0.789513,-0.498212,0.146429,0.273742,0,0,0,0
-247.873,134.095,0.79168,-0.485351,0.140837,0.283328,0,0,0,0
-247.873,142.222,0.793887,-0.472437,0.135292,0.29193,0,0,0,0
-247.873,150.349,0.796128,-0.459534,0.129822,0.299592,0,0,0,0
-247.873,158.476,0.798392,-0.446696,0.124452,0.306361,0,0,0,0
-247.873,166.603,0.800673,-0.433974,0.119202,0.312288,0,0,0,0
-247.873,174.73,0.802965,-0.421409,0.11409,0.317424,0,0,0,0
-247.873,182.857,0.805261,-0.409037,0.109129,0.321819,0,0,0,0
-247.873,190.984,0.807556,-0.396887,0.104327,0.325525,0,0,0,0
-247.873,199.111,0.809845,-0.384985,0.0996933,0.328593,0,0,0,0
-247.873,207.238,0.812125,-0.37335,0.095231,0.33107,0,0,0,0
-247.873,215.365,0.814392,-0.361998,0.0909431,0.333002,0,0,0,0
-247.873,223.492,0.816642,-0.350941,0.0868302,0.334436,0,0,0,0
-247.873,231.619,0.818873,-0.340186,0.0828915,0.335412,0,0,0,0
-247.873,239.746,0.821083,-0.32974,0.0791249,0.335971,0,0,0,0
-247.873,247.873,0.82327,-0.319605,0.0755273,0.336151,0,0,0,0
-247.873,256,0.82327,-0.319605,0.0755273,0.336151,0,0,0,0
-239.746,-256,0.821299,-0.318375,0.0765849,-0.346801,0,0,0,0
-239.746,-247.873,0.821299,-0.318375,0.0765849,-0.346801,0,0,0,0
-239.746,-239.746,0.819028,-0.328783,0.0803496,-0.346982,0,0,0,0
-239.746,-231.619,0.81673,-0.339532,0.0843012,-0.346785,0,0,0,0
-239.746,-223.492,0.814407,-0.350621,0.0884444,-0.346168,0,0,0,0
-239.746,-215.365,0.81206,-0.362047,0.0927826,-0.34509,0,0,0,0
-239.746,-207.238,0.809693,-0.373804,0.0973184,-0.343504,0,0,0,0
-239.746,-199.111,0.807308,-0.385881,0.102052,-0.341362,0,0,0,0
-239.746,-190.984,0.804908,-0.398265,0.106984,-0.338614,0,0,0,0
-239.746,-182.857,0.802499,-0.410938,0.112109,-0.335204,0,0,0,0
-239.746,-174.73,0.800085,-0.423876,0.117422,-0.331079,0,0,0,0
-239.746,-166.603,0.79767,-0.43705,0.122914,-0.326179,0,0,0,0
-239.746,-158.476,0.795261,-0.450424,0.128573,-0.320448,0,0,0,0
-239.746,-150.349,0.792865,-0.463958,0.134381,-0.313825,0,0,0,0
-239.746,-142.222,0.79049,-0.477599,0.140319,-0.306252,0,0,0,0
-239.746,-134.095,0.788144,-0.49129,0.14636,-0.297674,0,0,0,0
-239.746,-125.968,0.785836,-0.504965,0.152472,-0.288036,0,0,0,0
-239.746,-117.841,0.783577,-0.518548,0.158621,-0.277291,0,0,0,0
-239.746,-109.714,0.781379,-0.531955,0.164763,-0.265397,0,0,0,0
-239.746,-101.587,0.779253,-0.545092,0.17085,-0.252321,0,0,0,0
-239.746,-93.4603,0.777212,-0.557859,0.176829,-0.238042,0,0,0,0
-239.746,-85.3333,0.775271,-0.570147,0.182641,-0.22255,0,0,0,0
-239.746,-77.2063,0.773443,-0.581842,0.188225,-0.205853,0,0,0,0
-239.746,-69.0794,0.771743,-0.592825,0.193514,-0.187975,0,0,0,0
-239.746,-60.9524,0.770186,-0.602978,0.198441,-0.168961,0,0,0,0
-239.746,-52.8254,0.768785,-0.612181,0.202937,-0.148874,0,0,0,0
-239.746,-44.6984,0.767555,-0.62032,0.206938,-0.127801,0,0,0,0
-239.746,-36.5714,0.766509,-0.627287,0.21038,-0.105849,0,0,0,0
-239.746,-28.4444,0.765657,-0.632987,0.213208,-0.0831458,0,0,0,0
-239.746,-20.3175,0.765009,-0.637338,0.215373,-0.0598368,0,0,0,0
-239.746,-12.1905,0.764572,-0.640276,0.216839,-0.0360833,0,0,0,0
-239.746,-4.06349,0.764353,-0.641756,0.217579,-0.0120582,0,0,0,0
-239.746,4.06349,0.764353,-0.641756,0.217579,0.0120582,0,0,0,0
-239.746,12.1905,0.764572,-0.640276,0.216839,0.0360833,0,0,0,0
-239.746,20.3175,0.765009,-0.637338,0.215373,0.0598368,0,0,0,0
-239.746,28.4444,0.765657,-0.632987,0.213208,0.0831458,0,0,0,0
-239.746,36.5714,0.766509,-0.627287,0.21038,0.105849,0,0,0,0
-239.746,44.6984,0.767555,-0.62032,0.206938,0.127801,0,0,0,0
-239.746,52.8254,0.768785,-0.612181,0.202937,0.148874,0,0,0,0
-239.746,60.9524,0.770186,-0.602978,0.198441,0.168961,0,0,0,0
-239.746,69.0794,0.771743,-0.592825,0.193514,0.187975,0,0,0,0
-239.746,77.2063,0.773443,-0.581842,0.188225,0.205853,0,0,0,0
-239.746,85.3333,0.775271,-0.570147,0.182641,0.22255,0,0,0,0
-239.746,93.4603,0.777212,-0.557859,0.176829,0.238042,0,0,0,0
-239.746,101.587,0.779253,-0.545092,0.17085,0.252321,0,0,0,0
-239.746,109.714,0.781379,-0.531955,0.164763,0.265397,0,0,0,0
-239.746,117.841,0.783577,-0.518548,0.158621,0.277291,0,0,0,0
-239.746,125.968,0.785836,-0.504965,0.152472,0.288036,0,0,0,0
-239.746,134.095,0.788144,-0.49129,0.14636,0.297674,0,0,0,0
