x,z,gamma_00,gamma_01,gamma_02,gamma_10,gamma_11,gamma_12,gamma_20,gamma_21,gamma_22
174.73,247.873,1.15957,-0.0367767,0.241248,-0.0367763,1.00785,-0.0556967,0.241244,-0.0556973,1.35749
174.73,256,1.15972,-0.0366564,0.240642,-0.0366563,1.00811,-0.0552808,0.240641,-0.055281,1.35896
182.857,-256,1.16785,-0.0380418,-0.241276,-0.0380417,1.00832,0.0547434,-0.241274,0.0547436,1.34332
182.857,-247.873,1.16765,-0.0381463,-0.241837,-0.0381459,1.00807,0.0551352,-0.241833,0.0551357,1.34177
182.857,-239.746,1.17546,-0.0407023,-0.244325,-0.0407019,1.00882,0.0564909,-0.244325,0.0564915,1.33856
182.857,-231.619,1.18573,-0.0440869,-0.250615,-0.0440864,1.00982,0.0592948,-0.250615,0.0592955,1.33637
182.857,-223.492,1.19696,-0.0478673,-0.257087,-0.0478667,1.01096,0.0622789,-0.257087,0.0622797,1.33385
182.857,-215.365,1.2089,-0.0519852,-0.263481,-0.0519845,1.01223,0.065361,-0.263481,0.0653619,1.33061
182.857,-207.238,1.2216,-0.0564736,-0.269739,-0.0564728,1.01366,0.0685276,-0.269739,0.0685286,1.32662
182.857,-199.111,1.2351,-0.0613616,-0.275793,-0.0613606,1.01525,0.0717615,-0.275793,0.0717627,1.32181
182.857,-190.984,1.24944,-0.0666785,-0.281567,-0.0666774,1.01702,0.0750402,-0.281567,0.0750416,1.31612
182.857,-182.857,1.26463,-0.0724534,-0.286971,-0.072452,1.01899,0.0783352,-0.286971,0.0783367,1.30948
182.857,-174.73,1.28072,-0.0787143,-0.291901,-0.0787126,1.02119,0.0816105,-0.291901,0.0816123,1.30181
182.857,-166.603,1.2977,-0.0854871,-0.29624,-0.0854851,1.02362,0.0848221,-0.29624,0.0848241,1.29307
182.857,-158.476,1.31559,-0.0927943,-0.299856,-0.0927919,1.02631,0.0879168,-0.299856,0.0879191,1.28319
182.857,-150.349,1.33437,-0.100653,-0.302599,-0.10065,1.02927,0.0908311,-0.302598,0.0908337,1.27213
182.857,-142.222,1.35403,-0.109075,-0.304304,-0.109071,1.03253,0.0934904,-0.304304,0.0934934,1.25984
182.857,-134.095,1.37453,-0.118058,-0.304793,-0.118054,1.03608,0.0958086,-0.304792,0.095812,1.24632
182.857,-125.968,1.3958,-0.127594,-0.303869,-0.127589,1.03994,0.0976878,-0.303868,0.0976916,1.23157
182.857,-117.841,1.41774,-0.137653,-0.301326,-0.137647,1.04411,0.0990189,-0.301326,0.0990232,1.21563
182.857,-109.714,1.44025,-0.14819,-0.296951,-0.148183,1.04857,0.0996829,-0.296951,0.0996876,1.19858
