x,z,K00,K01,K02,K10,K11,K12,K20,K21,K22
-4.06349,199.111,0.366692,0.000185321,0.0082544,0.00018578,0.366433,-0.0154504,0.00826659,-0.0154562,-0.308616
-4.06349,207.238,0.343137,0.000166846,0.00769652,0.000167264,0.342917,-0.0140021,0.0077086,-0.0140067,-0.292776
-4.06349,215.365,0.321509,0.000150091,0.00716879,0.000150471,0.321321,-0.0127098,0.00718045,-0.0127135,-0.277667
-4.06349,223.492,0.301637,0.00013493,0.00667369,0.000135274,0.301477,-0.0115566,0.00668449,-0.0115595,-0.263337
-4.06349,231.619,0.283386,0.000121401,0.00621075,0.000121683,0.283248,-0.0105273,0.00622156,-0.0105296,-0.249716
-4.06349,239.746,0.266881,0.000113134,0.00570241,0.000113106,0.266755,-0.00960188,0.00579529,-0.00960442,-0.235531
-4.06349,247.873,0.253831,0.000107546,0.0053334,0.000104255,0.253718,-0.00878152,0.00546851,-0.00878269,-0.207365
-4.06349,256,0.252522,0.000103154,0.00535136,0.000102293,0.252413,-0.00880699,0.00544959,-0.00880753,-0.217853
4.06349,-256,0.25244,-0.000101628,0.008902,-0.000102513,0.252547,0.00544409,0.00880377,0.00544316,-0.217757
4.06349,-247.873,0.253767,-0.000103041,0.00891495,-0.000106394,0.253877,0.00545972,0.00877952,0.00545753,-0.207197
4.06349,-239.746,0.266765,-0.000113528,0.00969146,-0.000113572,0.266891,0.00580044,0.00960023,0.00579844,-0.235488
4.06349,-231.619,0.283248,-0.000122504,0.0105342,-0.000122224,0.283387,0.00622747,0.0105238,0.00622546,-0.249714
4.06349,-223.492,0.301475,-0.000136269,0.011563,-0.000135928,0.301638,0.00669154,0.0115528,0.00668907,-0.263337
4.06349,-215.365,0.32132,-0.000151633,0.0127168,-0.000151256,0.32151,0.00718879,0.0127059,0.00718577,-0.277666
4.06349,-207.238,0.342915,-0.000168622,0.0140091,-0.000168207,0.343138,0.00771848,0.0139981,0.00771477,-0.292776
4.06349,-199.111,0.366431,-0.000187369,0.015457,-0.000186913,0.366693,0.0082783,0.0154463,0.00827374,-0.308616
4.06349,-190.984,0.392045,-0.000207866,0.0170788,-0.000207369,0.392354,0.00886348,0.0170688,0.00885788,-0.325104
4.06349,-182.857,0.419939,-0.000229959,0.0188931,-0.000229418,0.420304,0.00946568,0.0188844,0.00945882,-0.3421
4.06349,-174.73,0.450294,-0.000253262,0.0209179,-0.000252676,0.450727,0.0100714,0.0209114,0.010063,-0.35938
4.06349,-166.603,0.483282,-0.000277016,0.0231687,-0.000276384,0.483797,0.0106598,0.0231654,0.0106496,-0.376606
4.06349,-158.476,0.519049,-0.000299873,0.0256551,-0.000299192,0.519661,0.0111995,0.0256567,0.0111874,-0.39328
4.06349,-150.349,0.557689,-0.000319556,0.0283759,-0.00031882,0.558419,0.0116446,0.0283847,0.0116304,-0.408681
4.06349,-142.222,0.599217,-0.000332358,0.0313107,-0.000331545,0.600084,0.0119283,0.0313299,0.0119122,-0.421782
4.06349,-134.095,0.643512,-0.000332359,0.0344068,-0.000331421,0.644539,0.0119553,0.0344409,0.0119382,-0.431136
4.06349,-125.968,0.690251,-0.000310264,0.0375597,-0.000309094,0.691457,0.0115905,0.0376151,0.0115745,-0.434719
4.06349,-117.841,0.738809,-0.00025166,0.0405825,-0.000250035,0.740208,0.0106447,0.0406683,0.0106344,-0.429729
4.06349,-109.714,0.788126,-0.000134447,0.0431603,-0.000131913,0.789714,0.00885504,0.0432897,0.0088595,-0.412318
4.06349,-101.587,0.836542,7.4871e-05,0.0447832,7.92086e-05,0.838277,0.00585978,0.0449756,0.00589639,-0.377261
4.06349,-93.4603,0.881587,0.0004264,0.0446504,0.000434271,0.883353,0.00116619,0.0449345,0.00126731,-0.317561
4.06349,-85.3333,0.919766,0.000993896,0.0415379,0.00100859,0.92131,-0.00589223,0.0419579,-0.00566736,-0.224056
4.06349,-77.2063,0.946396,0.00188375,0.0336288,0.00191145,0.947221,-0.0162149,0.0342542,-0.0157595,-0.085152
4.06349,-69.0794,0.955639,0.00324561,0.0183185,0.00329778,0.954817,-0.0310281,0.0192621,-0.0301522,0.112972
4.06349,-60.9524,0.940987,0.00528384,-0.00796037,0.0053816,0.936861,-0.0520578,-0.00650811,-0.0504285,0.384981
4.06349,-52.8254,0.896672,0.00827291,-0.0497863,0.00845493,0.886374,-0.0818821,-0.0474947,-0.0789244,0.74246
4.06349,-44.6984,0.820591,0.0125621,-0.112553,0.0128986,0.799378,-0.124683,-0.108833,-0.119438,1.18523
4.06349,-36.5714,0.719655,0.0188736,-0.201509,0.0195027,0.679102,-0.187565,-0.19527,-0.178415,1.68524
4.06349,-28.4444,0.617254,0.0267885,-0.322177,0.0278849,0.54873,-0.282714,-0.312406,-0.267892,2.16102
4.06349,-20.3175,0.571664,0.0479456,-0.475205,0.0502962,0.414788,-0.433229,-0.451288,-0.40442,2.47983
4.06349,-12.1905,0.724185,0.0293775,-0.517568,0.0327324,0.640201,-0.502601,-0.518068,-0.504476,1.73766
4.06349,-4.06349,2.7786,0.532363,-2.61325,0.55885,0.784403,-3.60753,-2.42605,-3.27094,5.0841
4.06349,4.06349,2.7786,0.532363,2.61325,0.55885,0.784403,3.60753,2.42605,3.27094,5.0841
4.06349,12.1905,0.724185,0.0293775,0.517568,0.0327324,0.640201,0.502601,0.518068,0.504476,1.73766
4.06349,20.3175,0.571664,0.0479456,0.475205,0.0502962,0.414788,0.433229,0.451288,0.40442,2.47983
4.06349,28.4444,0.617254,0.0267885,0.322177,0.0278849,0.54873,0.282714,0.312406,0.267892,2.16102
4.06349,36.5714,0.719655,0.0188736,0.201509,0.0195027,0.679102,0.187565,0.19527,0.178415,1.68524
4.06349,44.6984,0.820591,0.0125621,0.112553,0.0128986,0.799378,0.124683,0.108833,0.119438,1.18523
4.06349,52.8254,0.896672,0.00827291,0.0497863,0.00845493,0.886374,0.0818821,0.0474947,0.0789244,0.74246
4.06349,60.9524,0.940987,0.00528384,0.00796037,0.0053816,0.936861,0.0520578,0.00650811,0.0504285,0.384981
4.06349,69.0794,0.955639,0.00324561,-0.0183185,0.00329778,0.954817,0.0310281,-0.0192621,0.0301522,0.112972
4.06349,77.2063,0.946396,0.00188375,-0.0336288,0.00191145,0.947221,0.0162149,-0.0342542,0.0157595,-0.085152
4.06349,85.3333,0.919766,0.000993896,-0.0415379,0.00100859,0.92131,0.00589223,-0.0419579,0.00566736,-0.224056
4.06349,93.4603,0.881587,0.0004264,-0.0446504,0.000434271,0.883353,-0.00116619,-0.0449345,-0.00126731,-0.317561
4.06349,101.587,0.836542,7.4871e-05,-0.0447832,7.92086e-05,0.838277,-0.00585978,-0.0449756,-0.00589639,-0.377261
4.06349,109.714,0.788126,-0.000134447,-0.0431603,-0.000131913,0.789714,-0.00885504,-0.0432897,-0.0088595,-0.412318
4.06349,117.841,0.738809,-0.00025166,-0.0405825,-0.000250035,0.740208,-0.0106447,-0.0406683,-0.0106344,-0.429729
4.06349,125.968,0.690251,-0.000310264,-0.0375597,-0.000309094,0.691457,-0.0115905,-0.0376151,-0.0115745,-0.434719
4.06349,134.095,0.643512,-0.000332359,-0.0344068,-0.000331421,0.644539,-0.0119553,-0.0344409,-0.0119382,-0.431136
4.06349,142.222,0.599217,-0.000332358,-0.0313107,-0.000331545,0.600084,-0.0119283,-0.0313299,-0.0119122,-0.421782
4.06349,150.349,0.557689,-0.000319556,-0.0283759,-0.00031882,0.558419,-0.0116446,-0.0283847,-0.0116304,-0.408681
4.06349,158.476,0.519049,-0.000299873,-0.0256551,-0.000299192,0.519661,-0.0111995,-0.0256567,-0.0111874,-0.39328
4.06349,166.603,0.483282,-0.000277016,-0.0231687,-0.000276384,0.483797,-0.0106598,-0.0231654,-0.0106496,-0.376606
4.06349,174.73,0.450294,-0.000253262,-0.0209179,-0.000252676,0.450727,-0.0100714,-0.0209114,-0.010063,-0.35938
4.06349,182.857,0.419939,-0.000229959,-0.0188931,-0.000229418,0.420304,-0.00946568,-0.0188844,-0.00945882,-0.3421
4.06349,190.984,0.392045,-0.000207866,-0.0170788,-0.000207369,0.392354,-0.00886348,-0.0170688,-0.00885788,-0.325104
4.06349,199.111,0.366431,-0.000187369,-0.015457,-0.000186913,0.366693,-0.0082783,-0.0154463,-0.00827374,-0.308616
4.06349,207.238,0.342915,-0.000168621,-0.0140091,-0.000168207,0.343138,-0.00771848,-0.0139981,-0.00771477,-0.292776
4.06349,215.365,0.32132,-0.000151632,-0.0127168,-0.000151255,0.32151,-0.00718879,-0.0127059,-0.00718577,-0.277666
4.06349,223.492,0.301475,-0.000136271,-0.011563,-0.000135929,0.301638,-0.00669154,-0.0115528,-0.00668907,-0.263337
4.06349,231.619,0.283247,-0.000122524,-0.0105342,-0.000122245,0.283386,-0.00622748,-0.0105238,-0.00622548,-0.249716
4.06349,239.746,0.266754,-0.000113678,-0.00969149,-0.00011372,0.266881,-0.00580055,-0.00960025,-0.00579855,-0.235521
4.06349,247.873,0.253719,-0.000103579,-0.00891513,-0.000106919,0.253831,-0.00546003,-0.0087801,-0.00545783,-0.207348
4.06349,256,0.252414,-0.000102001,-0.00890214,-0.000102884,0.252522,-0.00544426,-0.00880411,-0.00544332,-0.217841
12.1905,-256,0.25108,-9.14295e-05,0.023081,-9.24134e-05,0.252215,0.00208151,0.0229831,0.00207912,-0.216581
12.1905,-247.873,0.252371,-9.01819e-05,0.0230893,-9.37266e-05,0.25354,0.00213794,0.0229543,0.00213241,-0.206081
12.1905,-239.746,0.265253,-8.96008e-05,0.0250022,-8.98693e-05,0.266531,0.00200038,0.0249131,0.0019939,-0.234204
12.1905,-231.619,0.281608,-9.09382e-05,0.0271845,-9.093e-05,0.282992,0.00193086,0.0271745,0.0019246,-0.248225
12.1905,-223.492,0.299644,-8.63547e-05,0.0296926,-8.63561e-05,0.301206,0.00183206,0.029683,0.00182429,-0.261685
12.1905,-215.365,0.319274,-7.78581e-05,0.0324811,-7.79175e-05,0.321039,0.0016766,0.0324709,0.00166699,-0.275834
12.1905,-207.238,0.340629,-6.39324e-05,0.0355779,-6.4074e-05,0.342626,0.0014481,0.0355679,0.00143618,-0.290742
12.1905,-199.111,0.363877,-4.2496e-05,0.0390147,-4.27527e-05,0.366139,0.0011255,0.0390054,0.00111067,-0.306361
12.1905,-190.984,0.389193,-1.07937e-05,0.0428235,-1.1209e-05,0.391758,0.000681624,0.0428155,0.00066314,-0.32261
12.1905,-182.857,0.416762,3.48751e-05,0.0470341,3.42444e-05,0.419669,8.17874e-05,0.0470282,5.87012e-05,-0.339351
12.1905,-174.73,0.446766,9.94848e-05,0.0516705,9.8566e-05,0.450061,-0.000718181,0.051668,-0.000747042,-0.356368
12.1905,-166.603,0.479384,0.000189703,0.0567455,0.000188406,0.483113,-0.00177436,0.0567481,-0.00181044,-0.373333
